amount,x_center,page
08,56.313,1
307,71.325,1
00059,93.84299999999999,1
10,113.859,1
02049,133.875,1
0,151.389,1
36,161.39700000000002,1
8600,360.216,1
,,391.491,1
59,43.016999999999996,1
10,55.527,1
02049,75.543,1
0,93.05700000000002,1
30,163.61599999999999,1
04,176.12599999999998,1
2023,193.64,1
1,268.724,1
2035,341.20799999999997,1
31,128.655,1
03,141.16500000000002,1
2023,158.679,1
51.345,462,544.687,1
03,24.074,1
04,36.584,1
84570744,213.29999999999995,1
03042023,322.86100000000005,1
1.105,542,545.489,1
04,24.074,1
04,36.584,1
0482178,208.79999999999998,1
03042023,322.86100000000005,1
2,618,449.367,1
04,24.074,1
04,36.584,1
0482178,208.79999999999998,1
03042023,322.86100000000005,1
28.000,000,438.10400000000004,1
04,24.074,1
04,36.584,1
35739925,213.29999999999995,1
05042023,322.86100000000005,1
9.394,571,545.489,1
04,24.074,1
04,36.584,1
84548531,213.29999999999995,1
05042023,322.86100000000005,1
1.103,861,545.489,1
05,24.074,1
04,36.584,1
18074645,207.80099999999996,1
05042023,322.86100000000005,1
0,380,449.367,1
05,24.074,1
04,36.584,1
18074645,207.80099999999996,1
05042023,322.86100000000005,1
2,000,449.367,1
05,24.074,1
04,36.584,1
18074645,207.80099999999996,1
05042023,322.86100000000005,1
138,710,549.2420000000001,1
05,24.074,1
04,36.584,1
24903332,207.80099999999996,1
05042023,322.86100000000005,1
275,150,549.2420000000001,1
05,24.074,1
04,36.584,1
24903332,207.80099999999996,1
05042023,322.86100000000005,1
0,380,449.367,1
05,24.074,1
04,36.584,1
24903332,207.80099999999996,1
05042023,322.86100000000005,1
2,000,449.367,1
05,24.074,1
04,36.584,1
1092721,213.80399999999995,1
06042023,322.86100000000005,1
641,562,549.2420000000001,1
05,24.074,1
04,36.584,1
1092721,209.295,1
31032023,322.86100000000005,1
0,893,449.367,1
06,24.074,1
04,36.584,1
97473304,207.80099999999996,1
06042023,322.86100000000005,1
3.745,170,545.489,1
06,24.074,1
04,36.584,1
97473304,207.80099999999996,1
06042023,322.86100000000005,1
0,380,449.367,1
06,24.074,1
04,36.584,1
97473304,207.80099999999996,1
06042023,322.86100000000005,1
2,000,449.367,1
07,24.074,1
04,36.584,1
0210855,213.80399999999995,1
10042023,322.86100000000005,1
187,997,549.2420000000001,1
07,24.074,1
04,36.584,1
0210855,209.295,1
05042023,322.86100000000005,1
0,893,449.367,1
11,24.074,1
04,36.584,1
0000132,193.80599999999998,1
10042023,322.86100000000005,1
3.800,000,440.607,1
11,24.074,1
04,36.584,1
0397498,207.80099999999996,1
11042023,322.86100000000005,1
1,190,449.367,1
11,24.074,1
04,36.584,1
0397498,207.80099999999996,1
11042023,322.86100000000005,1
1.100,000,440.607,1
11,24.074,1
04,36.584,1
0482175,207.80099999999996,1
11042023,322.86100000000005,1
35.000,000,438.10400000000004,1
12,24.074,1
04,36.584,1
59711938,207.80099999999996,1
12042023,322.86100000000005,1
0,380,449.367,1
12,24.074,1
04,36.584,1
59711938,207.80099999999996,1
12042023,322.86100000000005,1
101,150,549.2420000000001,1
12,24.074,1
04,36.584,1
59711938,207.80099999999996,1
12042023,322.86100000000005,1
2,000,449.367,1
12,24.074,1
04,36.584,1
64264208,207.80099999999996,1
12042023,322.86100000000005,1
0,380,449.367,1
12,24.074,1
04,36.584,1
64264208,207.80099999999996,1
12042023,322.86100000000005,1
2,000,449.367,1
12,24.074,1
04,36.584,1
64264208,207.80099999999996,1
12042023,322.86100000000005,1
126,000,549.2420000000001,1
12,24.074,1
04,36.584,1
0276987,213.80399999999995,1
13042023,322.86100000000005,1
725,734,549.2420000000001,1
12,24.074,1
04,36.584,1
0276987,209.295,1
07042023,322.86100000000005,1
1,785,449.367,1
13,24.074,1
04,36.584,1
1755055,215.29799999999994,1
12042023,322.86100000000005,1
1,045,449.367,1
08,56.313,2
307,71.325,2
00059,93.84299999999999,2
10,113.859,2
02049,133.875,2
0,151.389,2
36,161.39700000000002,2
8600,360.216,2
,,391.491,2
59,43.016999999999996,2
10,55.527,2
02049,75.543,2
0,93.05700000000002,2
30,163.61599999999999,2
04,176.12599999999998,2
2023,193.64,2
2,268.724,2
2035,341.20799999999997,2
13,24.074,2
04,36.584,2
1755055,215.29799999999994,2
12042023,322.86100000000005,2
5,500,449.367,2
13,24.074,2
04,36.584,2
1619206,213.80399999999995,2
14042023,322.86100000000005,2
281,543,549.2420000000001,2
13,24.074,2
04,36.584,2
1619206,209.295,2
10042023,322.86100000000005,2
0,893,449.367,2
14,24.074,2
04,36.584,2
1619207,213.80399999999995,2
17042023,322.86100000000005,2
7.500,000,545.489,2
14,24.074,2
04,36.584,2
1619207,209.295,2
11042023,322.86100000000005,2
0,893,449.367,2
17,24.074,2
04,36.584,2
